,0
0,29.0
1,38.0
2,30.666666666666668
3,27.0
4,24.0
5,22.833333333333332
6,21.428571428571427
7,20.25
8,19.333333333333332
9,18.7
10,19.272727272727273
11,18.5
12,17.923076923076923
13,17.571428571428573
14,17.266666666666666
15,16.8125
16,16.58823529411765
17,16.22222222222222
18,15.894736842105264
19,15.7
20,15.428571428571429
21,15.090909090909092
22,14.91304347826087
23,14.875
24,14.64
25,14.538461538461538
26,14.37037037037037
27,14.214285714285714
28,14.10344827586207
29,14.033333333333333
30,13.870967741935484
31,13.75
32,13.606060606060606
33,13.558823529411764
34,13.457142857142857
35,13.527777777777779
36,13.378378378378379
37,13.263157894736842
38,13.307692307692308
39,13.35
40,13.609756097560975
41,13.80952380952381
42,13.976744186046512
43,14.204545454545455
44,14.311111111111112
45,14.521739130434783
46,14.553191489361701
47,16.0625
48,17.020408163265305
49,19.42
50,19.8
51,19.74
52,20.8
53,22.5
54,24.14
55,24.46
56,25.08
57,26.12
58,26.46
59,26.88
60,27.46
61,28.32
62,29.1
63,30.0
64,31.22
65,31.86
66,32.62
67,33.2
68,34.18
69,35.82
70,37.32
71,37.94
72,39.84
73,40.56
74,41.52
75,42.36
76,43.16
77,43.98
78,45.62
79,46.62
80,47.28
81,48.86
82,49.92
83,50.48
84,51.54
85,52.34
86,53.18
87,55.28
88,56.18
89,56.9
90,58.32
91,60.22
92,61.18
93,61.96
94,63.64
95,65.28
96,68.36
97,70.38
98,70.58
99,71.84
100,72.64
101,75.02
102,75.42
103,75.04
104,77.16
105,80.3
106,81.94
107,84.42
108,87.84
109,91.16
110,94.08
111,97.02
112,100.02
113,102.86
114,105.38
115,108.54
116,111.52
117,114.6
118,117.4
119,119.52
120,121.82
121,124.18
122,125.86
123,128.22
124,130.56
125,133.04
126,135.8
127,138.68
128,140.56
129,143.32
130,146.3
131,148.26
132,150.62
133,153.14
134,155.82
135,158.22
136,161.22
137,162.22
138,164.64
139,167.12
140,169.22
141,170.88
142,173.5
143,175.38
144,176.76
145,178.6
146,178.42
147,178.12
148,180.44
149,180.44
150,182.68
151,183.14
152,185.12
153,186.92
154,186.88
155,186.72
156,187.76
157,187.92
158,187.24
159,186.92
160,186.16
161,185.7
162,184.98
163,184.46
164,184.02
165,183.48
166,182.84
167,182.26
168,181.48
169,180.84
170,180.44
171,180.9
172,180.36
173,180.52
174,180.44
175,180.16
176,180.28
177,179.54
178,179.66
179,179.66
180,179.3
181,179.08
182,178.74
183,179.12
184,178.9
185,178.7
186,177.88
187,178.6
188,178.96
189,179.46
190,178.56
191,178.56
192,178.08
193,178.48
194,178.46
195,177.78
196,178.32
197,178.02
198,177.68
199,176.76
