,0
0,10.0
1,17.5
2,17.0
3,17.0
4,21.0
5,18.833333333333332
6,19.0
7,17.75
8,17.11111111111111
9,16.2
10,15.818181818181818
11,15.5
12,15.0
13,14.571428571428571
14,14.266666666666667
15,14.0
16,13.705882352941176
17,13.5
18,13.368421052631579
19,13.4
20,13.238095238095237
21,13.181818181818182
22,13.08695652173913
23,12.875
24,12.72
25,12.692307692307692
26,12.62962962962963
27,12.535714285714286
28,12.482758620689655
29,12.366666666666667
30,12.290322580645162
31,12.3125
32,13.030303030303031
33,13.352941176470589
34,15.485714285714286
35,17.944444444444443
36,19.945945945945947
37,21.789473684210527
38,22.794871794871796
39,23.875
40,25.121951219512194
41,25.738095238095237
42,26.3953488372093
43,29.227272727272727
44,33.022222222222226
45,36.65217391304348
46,40.12765957446808
47,43.458333333333336
48,46.6530612244898
49,49.72
50,53.24
51,56.74
52,60.42
53,64.08
54,67.32
55,71.16
56,74.76
57,77.94
58,81.7
59,84.8
60,88.56
61,92.08
62,95.38
63,98.66
64,101.78
65,105.18
66,108.42
67,112.22
68,115.66
69,118.62
70,122.1
71,125.86
72,129.64
73,133.48
74,137.3
75,140.96
76,144.74
77,147.68
78,150.74
79,154.46
80,157.72
81,161.14
82,164.04
83,167.32
84,169.56
85,170.56
86,172.64
87,174.84
88,177.62
89,179.52
90,181.64
91,183.72
92,186.64
93,187.62
94,187.62
95,187.26
96,186.34
97,185.76
98,185.44
99,185.38
100,185.66
101,185.44
102,184.76
103,184.22
104,183.84
105,183.52
106,182.5
107,182.74
108,182.62
109,183.36
110,183.36
111,183.48
112,184.0
113,184.54
114,184.62
115,184.82
116,185.4
117,185.04
118,185.0
119,184.96
120,184.86
121,184.24
122,184.22
123,183.3
124,183.3
125,182.68
126,182.24
127,183.1
128,183.82
129,183.92
130,184.46
131,184.14
132,184.1
133,184.34
134,183.56
135,183.82
136,183.1
137,182.54
138,181.92
139,182.7
140,183.08
141,183.44
142,182.96
143,182.24
144,181.32
145,181.68
146,182.4
147,182.54
148,182.86
149,182.8
150,181.74
151,181.96
152,182.64
153,183.18
154,183.28
155,183.6
156,184.62
157,183.8
158,183.58
159,183.32
160,182.38
161,182.0
162,181.66
163,181.66
164,181.62
165,180.72
166,180.72
167,181.08
168,181.12
169,181.92
170,182.34
171,181.9
172,181.92
173,182.84
174,182.84
175,183.38
176,183.72
177,183.72
178,183.62
179,182.16
180,181.36
181,182.0
182,182.42
183,181.74
184,181.34
185,182.0
186,182.44
187,181.88
188,181.46
189,181.46
190,180.92
191,180.62
192,179.7
193,179.38
194,179.02
195,179.02
196,178.82
197,179.02
198,178.32
199,177.34
