,0
0,9.0
1,9.0
2,9.0
3,10.5
4,10.2
5,10.166666666666666
6,9.857142857142858
7,9.875
8,9.88888888888889
9,9.9
10,9.909090909090908
11,9.833333333333334
12,9.76923076923077
13,9.714285714285714
14,9.733333333333333
15,9.75
16,9.705882352941176
17,9.666666666666666
18,9.68421052631579
19,9.65
20,9.666666666666666
21,9.681818181818182
22,9.608695652173912
23,9.583333333333334
24,9.6
25,9.576923076923077
26,9.555555555555555
27,9.571428571428571
28,9.517241379310345
29,9.533333333333333
30,9.483870967741936
31,9.46875
32,9.424242424242424
33,9.411764705882353
34,9.457142857142857
35,9.472222222222221
36,9.45945945945946
37,9.473684210526315
38,9.487179487179487
39,9.5
40,9.512195121951219
41,9.5
42,9.511627906976743
43,9.5
44,9.533333333333333
45,9.543478260869565
46,9.51063829787234
47,9.5
48,9.489795918367347
49,9.46
50,9.48
51,9.5
52,9.52
53,9.44
54,9.42
55,9.38
56,9.38
57,9.38
58,9.42
59,9.46
60,9.56
61,9.58
62,9.74
63,9.74
64,9.72
65,9.7
66,9.7
67,9.7
68,9.7
69,10.0
70,10.0
71,10.0
72,10.6
73,10.64
74,11.14
75,11.24
76,11.68
77,12.42
78,12.74
79,13.54
80,13.74
81,14.56
82,15.02
83,15.44
84,15.46
85,15.82
86,16.0
87,16.44
88,16.64
89,18.06
90,18.76
91,18.84
92,19.0
93,19.36
94,19.42
95,19.82
96,20.1
97,21.22
98,22.08
99,22.32
100,23.18
101,24.38
102,25.22
103,25.98
104,27.68
105,30.02
106,33.86
107,37.66
108,41.02
109,44.78
110,48.48
111,52.28
112,55.94
113,59.76
114,63.58
115,67.4
116,71.22
117,75.04
118,78.84
119,82.36
120,86.16
121,89.96
122,93.2
123,96.98
124,100.28
125,104.0
126,107.38
127,110.44
128,113.96
129,116.96
130,120.6
131,123.6
132,126.98
133,130.38
134,134.14
135,137.56
136,141.2
137,144.56
138,148.16
139,150.26
140,153.36
141,157.1
142,160.74
143,164.2
144,167.92
145,170.86
146,174.42
147,177.12
148,180.08
149,183.68
150,186.62
151,189.2
152,191.4
153,194.06
154,196.2
155,197.52
156,196.98
157,196.16
158,195.56
159,195.0
160,194.56
161,193.88
162,192.7
163,192.7
164,192.24
165,191.26
166,190.8
167,190.18
168,190.18
169,189.24
170,189.12
171,188.22
172,187.6
173,186.22
174,185.08
175,184.54
176,183.62
177,182.82
178,181.78
179,180.32
180,179.84
181,179.32
182,178.22
183,176.88
184,175.76
185,173.86
186,172.54
187,172.54
188,172.24
189,172.1
190,171.12
191,170.0
192,168.06
193,167.14
194,165.74
195,165.98
196,165.98
197,165.3
198,163.86
199,163.86
