,0
0,13.0
1,15.5
2,19.333333333333332
3,23.5
4,21.0
5,22.666666666666668
6,21.571428571428573
7,20.5
8,19.666666666666668
9,18.8
10,19.09090909090909
11,18.75
12,18.23076923076923
13,17.714285714285715
14,17.2
15,16.75
16,16.352941176470587
17,16.11111111111111
18,15.789473684210526
19,15.5
20,15.19047619047619
21,14.954545454545455
22,14.826086956521738
23,14.625
24,14.4
25,14.23076923076923
26,14.74074074074074
27,14.678571428571429
28,14.551724137931034
29,14.466666666666667
30,14.451612903225806
31,14.9375
32,15.636363636363637
33,15.647058823529411
34,15.685714285714285
35,15.777777777777779
36,16.027027027027028
37,16.57894736842105
38,16.846153846153847
39,17.325
40,18.29268292682927
41,18.80952380952381
42,20.46511627906977
43,20.84090909090909
44,23.6
45,27.434782608695652
46,29.382978723404257
47,31.895833333333332
48,33.204081632653065
49,33.98
50,35.68
51,37.2
52,38.48
53,40.5
54,42.48
55,43.88
56,45.46
57,48.16
58,50.08
59,52.18
60,53.8
61,55.88
62,59.02
63,61.42
64,65.22
65,67.76
66,70.92
67,73.66
68,77.46
69,80.22
70,83.24
71,85.88
72,88.32
73,91.78
74,94.56
75,98.14
76,100.2
77,102.68
78,106.1
79,108.66
80,111.44
81,114.74
82,117.14
83,120.3
84,123.56
85,126.1
86,128.34
87,131.6
88,134.1
89,136.8
90,139.04
91,141.8
92,143.42
93,146.28
94,147.38
95,147.38
96,148.34
97,149.08
98,150.7
99,153.0
100,155.04
101,156.82
102,158.44
103,158.96
104,159.8
105,161.3
106,162.24
107,163.28
108,164.4
109,165.38
110,166.84
111,167.9
112,167.86
113,169.24
114,168.8
115,169.92
116,169.38
117,170.16
118,169.4
119,170.02
120,169.76
121,170.6
122,171.52
123,171.86
124,172.72
125,172.94
126,173.74
127,175.0
128,174.98
129,175.8
130,176.74
131,176.44
132,177.22
133,177.74
134,178.08
135,178.88
136,179.18
137,178.42
138,178.96
139,179.54
140,179.8
141,180.24
142,180.82
143,181.22
144,181.18
145,180.56
146,180.6
147,180.1
148,179.86
149,179.4
150,178.6
151,178.94
152,179.5
153,180.08
154,181.04
155,181.16
156,182.34
157,182.34
158,182.32
159,183.02
160,183.5
161,184.06
162,184.68
163,184.64
164,184.92
165,185.06
166,186.24
167,186.48
168,187.24
169,186.8
170,187.64
171,187.96
172,188.36
173,188.36
174,188.54
175,188.54
176,189.12
177,189.12
178,189.5
179,189.88
180,189.88
181,190.28
182,190.34
183,190.2
184,190.26
185,190.54
186,191.5
187,192.26
188,192.68
189,192.68
190,193.04
191,192.94
192,192.94
193,192.8
194,192.84
195,193.46
196,194.08
197,194.84
198,195.54
199,196.26
