,0
0,10.0
1,9.5
2,9.333333333333334
3,10.0
4,10.0
5,9.666666666666666
6,9.428571428571429
7,9.375
8,9.444444444444445
9,9.5
10,9.454545454545455
11,9.416666666666666
12,9.461538461538462
13,9.428571428571429
14,9.333333333333334
15,9.3125
16,9.352941176470589
17,9.444444444444445
18,9.421052631578947
19,9.45
20,9.476190476190476
21,9.5
22,9.565217391304348
23,9.541666666666666
24,9.56
25,9.5
26,9.481481481481481
27,9.464285714285714
28,9.448275862068966
29,9.466666666666667
30,9.451612903225806
31,9.46875
32,9.484848484848484
33,9.529411764705882
34,9.542857142857143
35,9.527777777777779
36,9.54054054054054
37,9.552631578947368
38,9.538461538461538
39,9.575
40,9.609756097560975
41,9.666666666666666
42,9.744186046511627
43,9.75
44,9.8
45,9.826086956521738
46,9.851063829787234
47,9.875
48,9.89795918367347
49,9.88
50,9.92
51,9.94
52,9.98
53,9.96
54,9.98
55,10.04
56,10.14
57,10.2
58,10.22
59,10.28
60,10.32
61,10.42
62,10.48
63,10.52
64,10.6
65,10.62
66,10.7
67,10.86
68,10.92
69,11.18
70,11.16
71,11.28
72,11.24
73,11.24
74,11.28
75,11.62
76,11.66
77,11.68
78,11.88
79,12.12
80,12.24
81,12.36
82,12.62
83,12.92
84,13.14
85,13.64
86,13.8
87,14.36
88,14.46
89,14.96
90,15.92
91,15.92
92,16.76
93,18.2
94,18.64
95,19.4
96,20.12
97,20.38
98,20.64
99,22.42
100,23.02
101,24.08
102,25.44
103,27.2
104,28.4
105,29.42
106,30.34
107,31.02
108,32.34
109,34.22
110,35.44
111,36.32
112,39.1
113,41.1
114,42.96
115,45.12
116,47.38
117,49.64
118,51.78
119,54.24
120,56.84
121,59.5
122,61.96
123,64.84
124,67.86
125,71.18
126,73.74
127,76.44
128,79.02
129,81.7
130,84.4
131,87.28
132,90.28
133,93.16
134,96.42
135,98.78
136,101.44
137,104.28
138,107.6
139,110.02
140,111.8
141,114.22
142,116.28
143,117.82
144,120.78
145,122.8
146,125.3
147,128.22
148,130.94
149,132.58
150,134.46
151,137.1
152,138.68
153,139.96
154,142.12
155,144.2
156,146.0
157,148.4
158,150.14
159,151.06
160,152.9
161,154.58
162,154.76
163,155.6
164,156.3
165,156.72
166,157.12
167,157.42
168,158.62
169,158.96
170,159.9
171,160.34
172,160.72
173,160.94
174,161.26
175,160.64
176,160.98
177,160.88
178,161.1
179,161.26
180,161.56
181,161.58
182,161.32
183,161.74
184,160.9
185,161.4
186,162.24
187,162.18
188,162.5
189,162.5
190,162.72
191,163.8
192,164.08
193,164.1
194,164.34
195,165.08
196,164.66
197,164.7
198,164.68
199,164.58
